id,issueId,commentId,commentAuthor,commentTime,commentHTML,commentText,issue
52,41387,"Comment 2","dev1","2007-01-17 04:29:12","I wasn't aware of that report, yes, seems to be the same problem.

The discussion in 36565 indicates that just quoting the entire argument wouln't
help.  We'll see once I've coded up an AntUnit test, I guess.","I wasn't aware of that report, yes, seems to be the same problem.

The discussion in 36565 indicates that just quoting the entire argument wouln't
help.  We'll see once I've coded up an AntUnit test, I guess.",21
53,41387,"Comment 3","dev1","2007-01-17 04:31:05","*** <a class=""bz_bug_link 
          bz_status_RESOLVED  bz_closed"" title=""RESOLVED DUPLICATE - jsharpc fails when run from directory with space in the path"" href=""show_bug.cgi?id=36565"">Bug 36565</a> has been marked as a duplicate of this bug. ***","*** Bug 36565 has been marked as a duplicate of this bug. ***",21
54,41387,"Comment 4","dev1","2007-01-23 02:25:29","I think this is fixed in SVN by now, at least my AntUnit tests failed before my
patch (only when forcing the tasks to use a response file) and pass now.

See <a href=""http://svn.apache.org/viewvc?view=rev&amp;revision=498915"">http://svn.apache.org/viewvc?view=rev&amp;revision=498915</a>","I think this is fixed in SVN by now, at least my AntUnit tests failed before my
patch (only when forcing the tasks to use a response file) and pass now.

See http://svn.apache.org/viewvc?view=rev&revision=498915",21
55,42167,Description,Manjunath,"2007-04-19 00:14:19",description,description,22
56,42155,Description,Manjunath,"2007-04-18 05:38:13","<a href=""http://issues.apache.org/bugzilla/enter_bug.cgi?product=Ant"">http://issues.apache.org/bugzilla/enter_bug.cgi?product=Ant</a>",http://issues.apache.org/bugzilla/enter_bug.cgi?product=Ant,23
57,42154,Description,Manjunath,"2007-04-18 05:36:15","<a href=""http://issues.apache.org/bugzilla/enter_bug.cgi?product=Ant"">http://issues.apache.org/bugzilla/enter_bug.cgi?product=Ant</a>",http://issues.apache.org/bugzilla/enter_bug.cgi?product=Ant,24
58,42154,"Comment 1",manj,"2007-04-18 05:37:58","I need some more info...","I need some more info...",24
59,40553,Description,"dev1","2006-09-20 05:50:26",,,25
60,40553,"Comment 1","dev1","2006-09-21 21:08:28","implemented

<a href=""http://svn.apache.org/viewvc?view=rev&amp;revision=448637"">http://svn.apache.org/viewvc?view=rev&amp;revision=448637</a>","implemented

http://svn.apache.org/viewvc?view=rev&revision=448637",25
61,40552,Description,"dev1","2006-09-20 05:47:27","<span class=""quote"">&gt; If you set failOnerror and nunit fails, it just stops, meaning the
&gt; &lt;xslt&gt; doesn't get done.  You can't get &lt;nunit&gt; to *tell* you it
&gt; failed without failonerror.</span>","> If you set failOnerror and nunit fails, it just stops, meaning the
> <xslt> doesn't get done.  You can't get <nunit> to *tell* you it
> failed without failonerror.",26
62,40552,"Comment 1","dev1","2006-09-21 21:06:37","it's called errorproperty

<a href=""http://svn.apache.org/viewvc?view=rev&amp;revision=448635"">http://svn.apache.org/viewvc?view=rev&amp;revision=448635</a>","it's called errorproperty

http://svn.apache.org/viewvc?view=rev&revision=448635",26
63,38392,Description,"Brian Watson","2006-01-26 01:02:27","The MSBuild task (DotNet 1.6.2 compatible) fails to properly delimit targets and 
properties when multiple targets or properties are specified.

Example
&lt;msbuild&gt;
        &lt;property name=&quot;Prop1&quot; value=&quot;abc&quot;/&gt;
        &lt;property name=&quot;Prop2&quot; value=&quot;xyz&quot;/&gt;
&lt;/msbuild&gt;

results in -p:Prop1=abcProp2=xyz.  Note the missing semicolon between the Prop1 
and Prop2 name-value pairs.  Patch follows:

Index: MSBuildTask.java
===================================================================
--- MSBuildTask.java    (<a href=""http://svn.apache.org/viewvc?view=revision&amp;revision=372335"">revision 372335</a>)
+++ MSBuildTask.java    (working copy)
@@ -64,6 +64,9 @@
                 if (!first) {
                     sb.append(&quot;;&quot;);
                 }
+                else {
+                    first = false;
+                }
                 sb.append(t.getName());
             }
             return new String[]{sb.toString()};
@@ -83,6 +86,9 @@
                 if (!first) {
                     sb.append(&quot;;&quot;);
                 }
+                else {
+                    first=false;
+                }
                 sb.append(p.getName()).append(&quot;=&quot;).append(p.getValue());
             }
             return new String[]{sb.toString()};
~","The MSBuild task (DotNet 1.6.2 compatible) fails to properly delimit targets and 
properties when multiple targets or properties are specified.

Example
<msbuild>
        <property name=""Prop1"" value=""abc""/>
        <property name=""Prop2"" value=""xyz""/>
</msbuild>

results in -p:Prop1=abcProp2=xyz.  Note the missing semicolon between the Prop1 
and Prop2 name-value pairs.  Patch follows:

Index: MSBuildTask.java
===================================================================
--- MSBuildTask.java    (revision 372335)
+++ MSBuildTask.java    (working copy)
@@ -64,6 +64,9 @@
                 if (!first) {
                     sb.append("";"");
                 }
+                else {
+                    first = false;
+                }
                 sb.append(t.getName());
             }
             return new String[]{sb.toString()};
@@ -83,6 +86,9 @@
                 if (!first) {
                     sb.append("";"");
                 }
+                else {
+                    first=false;
+                }
                 sb.append(p.getName()).append(""="").append(p.getValue());
             }
             return new String[]{sb.toString()};
~",27
64,38392,"Comment 1","Brian Watson","2006-01-26 01:04:25","Created <span class=""""><a href=""attachment.cgi?id=17504&amp;action=diff"" name=""attach_17504"" title=""Proposed patch - fixes the delimiter problem"">attachment 17504</a> <a href=""attachment.cgi?id=17504&amp;action=edit"" title=""Proposed patch - fixes the delimiter problem"">[details]</a></span>
Proposed patch - fixes the delimiter problem

This is the first time I've ever submitted a bug/patch so I'm sorry if I didn't
adhere to the correct process.","Created attachment 17504 [details]
Proposed patch - fixes the delimiter problem

This is the first time I've ever submitted a bug/patch so I'm sorry if I didn't
adhere to the correct process.",27
65,38392,"Comment 2","dev1","2006-01-26 07:14:06","I've just created new components for the three new antlibs.

Will take care of the bug.","I've just created new components for the three new antlibs.

Will take care of the bug.",27
66,38392,"Comment 3","dev1","2006-01-26 07:35:01","fixed in svn:

<a href=""http://svn.apache.org/viewcvs?rev=372448&amp;view=rev"">http://svn.apache.org/viewcvs?rev=372448&amp;view=rev</a>
<a href=""http://svn.apache.org/viewcvs?rev=372450&amp;view=rev"">http://svn.apache.org/viewcvs?rev=372450&amp;view=rev</a>","fixed in svn:

http://svn.apache.org/viewcvs?rev=372448&view=rev
http://svn.apache.org/viewcvs?rev=372450&view=rev",27
67,55911,Description,Sudheer,"2013-12-19 13:45:13","Hi how to fix this issue in service-now","Hi how to fix this issue in service-now",28
68,55911,"Comment 1","dev9","2013-12-19 15:39:51","Please do not use the public ASF Bugzilla instance for testing, but instead download and install your own (free!) copy of Bugzilla.","Please do not use the public ASF Bugzilla instance for testing, but instead download and install your own (free!) copy of Bugzilla.",28
69,53260,Description,nitin,"2012-05-18 14:14:52",gfdggggggggg,gfdggggggggg,29
70,51449,Description,swagat,"2011-06-29 12:27:38",asd,asd,30
71,51449,"Comment 1","dev1","2011-06-29 13:14:52","if you are trying to get yourself banned from this bugzilla instance, your approach is correct","if you are trying to get yourself banned from this bugzilla instance, your approach is correct",30
72,50103,Description,luigi87,"2010-10-16 06:03:52","test uniba so","test uniba so",31
73,50103,"Comment 1","J.M. (Martijn) Kruithof","2010-10-17 05:11:11","Please do not use this system to perform your tests.","Please do not use this system to perform your tests.",31
74,47818,Description,saurabh,"2009-09-10 19:24:13",saxcsa,saxcsa,32
